date,date.0,date.1,date.2,date.3,date.4,date.5,OT,OT.1,OT.2
942,32.99633,33.4093,32.3649,1592.07548,-1.35721,49.29011,9.06427870700047,3.376682313884104,0.0
943,33.01024,33.42859,32.3083,1587.35144,-1.36278,49.3076,9.082581294646664,3.3835005093523742,0.0
944,33.0241,33.44782,32.25165,1582.61854,-1.36755,49.32507,9.100716757162186,3.390256446312144,0.0
945,33.03792,33.467,32.195,1577.87668,-1.3715,49.34253,9.118635856931448,3.3969317824560834,0.0
946,33.05169,33.48614,32.13837,1573.12579,-1.37466,49.35996,9.13629004602726,3.403508432403945,0.0
947,33.06542,33.50522,32.08179,1568.36583,-1.37703,49.37737,9.153631637570156,3.409968631538408,0.0
948,33.07909,33.52426,32.02531,1563.59678,-1.37862,49.39477,9.17061397680195,3.4162949997344887,0.0
949,33.09273,33.54324,31.96895,1558.81868,-1.37946,49.41214,9.187191610994088,3.4224706046548663,0.0
950,33.10631,33.56218,31.91274,1554.03155,-1.37955,49.42949,9.203320457227951,3.4284790242524665,0.0
951,33.11985,33.58106,31.85671,1549.23549,-1.37893,49.44681,9.218957967107093,3.4343044081300937,0.0
952,33.13334,33.5999,31.8009,1544.4306,-1.37761,49.46412,9.234063287382718,3.439931537377661,0.0
953,33.14679,33.61868,31.74533,1539.61701,-1.37563,49.48141,9.248597415546945,3.445345882534763,0.0
954,33.16019,33.63741,31.69003,1534.79488,-1.37301,49.49867,9.26252334938129,3.4505336593014277,0.0
955,33.17354,33.6561,31.63501,1529.96442,-1.36978,49.51591,9.27580622949608,3.4554818816377963,0.0
956,33.18685,33.67473,31.58031,1525.12583,-1.36598,49.53313,9.288413473930362,3.4601784119061314,0.0
957,33.20011,33.69331,31.52595,1520.27936,-1.36164,49.55032,9.300314903895272,3.464612007713529,0.0
958,33.21332,33.71183,31.47194,1515.42527,-1.35679,49.5675,9.311482859800211,3.468772365134725,0.0
959,33.22649,33.73031,31.41831,1510.56388,-1.35148,49.58465,9.321892306758969,3.472650158015895,0.0
